,City,RegionName,State,PTR_6_months,10Year,5Year,YOY,three_bed_buy_2016,three_bed_buy_2017,three_bed_rent_2016,three_bed_rent_2017,rent_change,buy_change
5665,Southampton,11968,NY,3.1933333333333334,0.0289157637913846,0.0749408248955772,0.12764221007100301,962600.0,1101000.0,28000.0,30000.0,0.07142857142857142,0.143777269894037
419,Philadelphia,19134,PA,4.609999999999999,-0.0101502959202007,0.0118944070903297,0.026615969581749003,48600.0,46400.0,1000.0,1100.0,0.1,-0.04526748971193416
937,Philadelphia,19139,PA,5.298333333333333,0.00296317727491258,0.0459446706918372,0.0409711684370258,60900.0,59500.0,1100.0,1295.0,0.17727272727272728,-0.022988505747126436
5413,Bellefontaine Neighbors,63137,MO,5.353333333333333,-0.0632780955903557,-0.00661279334751186,0.0202429149797571,50100.0,50700.0,825.0,825.0,0.0,0.011976047904191617
73,Philadelphia,19143,PA,5.585,0.00808281285519996,0.0396770593373517,0.12248062015503901,57000.0,63600.0,1000.0,1200.0,0.2,0.11578947368421053
756,Jennings,63136,MO,5.676666666666667,-0.0486998177676147,0.00643018202750834,0.0325670498084291,60500.0,59600.0,837.5,850.0,0.014925373134328358,-0.01487603305785124
3297,Chicago,60621,IL,5.708333333333333,-0.0460565175870716,0.0132134180851662,0.16305732484076402,78200.0,92600.0,1100.0,1100.0,0.0,0.18414322250639387
3664,Philadelphia,19142,PA,5.919999999999999,-0.0035219646958034602,0.0318334041492792,0.0662739322533137,65900.0,70300.0,900.0,937.5,0.041666666666666664,0.06676783004552352
327,Lauderhill,33319,FL,6.026666666666667,-0.0471231866111308,0.10656811904804303,0.11123986095017402,158200.0,179900.0,1700.0,1600.0,-0.058823529411764705,0.13716814159292035
1561,Memphis,38127,TN,6.256666666666667,-0.0260165046460291,0.0206537088407441,0.12528473804100201,43900.0,49300.0,650.0,650.0,0.0,0.12300683371298406
872,Deerfield Beach,33442,FL,6.733333333333333,-0.0107449307779528,0.112975226260476,0.0840579710144927,271700.0,284600.0,1883.5,1913.0,0.015662330767188745,0.04747883695252116
2536,Riverdale,30274,GA,6.881666666666667,-0.0406922489980038,0.14191544267721898,0.124423963133641,64300.0,71300.0,895.0,925.0,0.0335195530726257,0.1088646967340591
742,Memphis,38111,TN,6.901666666666666,-0.0156424651471062,0.0324777905190012,0.103565365025467,62600.0,67300.0,850.0,875.0,0.029411764705882353,0.07507987220447285
1143,Ives Estates,33179,FL,7.058333333333334,-0.0426639225416446,0.134677194877578,0.0640599001663893,229000.0,256800.0,2200.0,2200.0,0.0,0.12139737991266375
524,Roseville,48066,MI,7.083333333333333,-0.0267086083669043,0.136816275368024,0.132720105124836,81800.0,91100.0,967.5,995.0,0.028423772609819122,0.1136919315403423
1808,Memphis,38118,TN,7.093333333333334,-0.0125592542243289,0.055343795923988,0.168831168831169,61500.0,72000.0,850.0,825.0,-0.029411764705882353,0.17073170731707318
695,Florissant,63031,MO,7.381666666666667,-0.033768904619336,0.0286504019985441,0.0521064301552106,90800.0,96000.0,1100.0,1100.0,0.0,0.05726872246696035
1215,Memphis,38128,TN,7.396666666666667,-0.0172372279381485,0.036972087466312004,0.0696022727272727,67700.0,72800.0,825.0,800.0,-0.030303030303030304,0.07533234859675036
70,Chicago,60617,IL,7.423333333333333,-0.0296487216921026,0.0143064747082113,0.0537444933920705,114600.0,119700.0,1150.0,1150.0,0.0,0.04450261780104712
6875,Homestead,33035,FL,7.5583333333333345,-0.0509629868310281,0.132886124500633,0.0966638152266895,118700.0,128300.0,1295.0,1350.0,0.04247104247104247,0.08087615838247683
764,Birmingham,35215,AL,7.733333333333333,-0.0208181970240664,0.00469968769091866,0.0123456790123457,79100.0,79900.0,850.0,895.0,0.052941176470588235,0.010113780025284451
192,Chicago,60649,IL,7.746666666666666,-0.0296178272076787,0.0102865939891945,0.119546247818499,133300.0,145200.0,1100.0,1150.0,0.045454545454545456,0.08927231807951988
2640,Killeen,76543,TX,7.848333333333334,-0.0135855674582029,0.007885004965475279,0.0228716645489199,77800.0,79500.0,825.0,825.0,0.0,0.021850899742930592
4270,Union City,30291,GA,7.935,-0.029564616526038,0.12295510705682101,0.10864745011086502,83500.0,93400.0,947.5,999.0,0.054353562005277044,0.118562874251497
1024,Memphis,38115,TN,7.965000000000001,-0.0151903462377289,0.0508020394941007,0.0985748218527316,83800.0,91500.0,995.0,950.0,-0.04522613065326633,0.09188544152744631
220,Fort Lauderdale,33311,FL,8.094999999999999,-0.0301088890456973,0.17817436621900498,0.21445042275172896,145600.0,174100.0,1550.0,1650.0,0.06451612903225806,0.19574175824175824
2612,Pompano Beach,33069,FL,8.178333333333333,-0.0264190741715224,0.115368685079076,0.0930059523809524,177100.0,181800.0,1500.0,1750.0,0.16666666666666666,0.026538678712591756
1735,Midwest City,73110,OK,8.180000000000001,0.008787894094383521,0.0185415378844336,-0.0026525198938992,81300.0,82700.0,825.0,825.0,0.0,0.017220172201722016
130,Chicago,60620,IL,8.341666666666665,-0.0164152212964755,0.0282439182670979,0.0582010582010582,138200.0,143800.0,1150.0,1150.0,0.0,0.04052098408104197
420,El Paso,79924,TX,8.468333333333332,-0.0081302953969552,-0.0038802636522615704,0.0456100342075257,93400.0,96600.0,975.0,950.0,-0.02564102564102564,0.034261241970021415
2496,Jacksonville,32208,FL,8.47,-0.0117331314608351,0.11155020529100802,0.35,71800.0,95100.0,875.0,899.0,0.027428571428571427,0.3245125348189415
5353,Memphis,38141,TN,8.505,-0.0106934980411257,0.0520479675703194,0.07465825446897999,93800.0,99600.0,955.5,995.0,0.041339612768184195,0.06183368869936034
3931,Stone Mountain,30088,GA,8.541666666666666,-0.0132755430752636,0.13486665429041,0.179295624332978,88100.0,101800.0,967.5,1015.0,0.04909560723514212,0.15550510783200908
422,Chicago,60637,IL,8.623333333333333,-0.0291369052833204,0.0234247456576153,0.136432926829268,137800.0,153200.0,1172.5,1200.0,0.023454157782515993,0.11175616835994194
