date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:24	23065/23065	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/	./more_python/learncodethehardway.org/more-python-book/index.html	(from )
11:16:25	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Jul%202017%2015:16:24%20GMT	http://www.google-analytics.com/	./more_python/www.google-analytics.com/index.html	(from https://learncodethehardway.org/more-python-book/)
11:16:25	251/251	---M--	302	error ('Found')	text/html	date:Sat,%2008%20Jul%202017%2015:16:24%20GMT	http://ajax.googleapis.com/	./more_python/ajax.googleapis.com/index.html	(from https://learncodethehardway.org/more-python-book/)
11:16:25	1996/1996	---MC-	200	added ('OK')	text/css	date:Sat,%2008%20Jul%202017%2015:16:24%20GMT	https://fonts.googleapis.com/css?family=Source+Code+Pro|Source+Sans+Pro:200,400,700,200italic,400italic,700italic	./more_python/fonts.googleapis.com/css33ad.css	(from https://learncodethehardway.org/more-python-book/)
11:16:25	192585/192585	---M--	200	added ('OK')	text/css	etag:%22595ef4e4-2f049%22	https://learncodethehardway.org/css/style.min.css	./more_python/learncodethehardway.org/css/style.min.css	(from https://learncodethehardway.org/more-python-book/)
11:16:26	8744/8744	---M--	200	added ('OK')	text/css	etag:%22595ef4f2-2228%22	https://learncodethehardway.org/css/icons.css	./more_python/learncodethehardway.org/css/icons.css	(from https://learncodethehardway.org/more-python-book/)
11:16:27	5835/5835	---M--	200	added ('OK')	image/svg+xml	etag:%22595ef4e4-16cb%22	https://learncodethehardway.org/images/pattern-more-python.svg	./more_python/learncodethehardway.org/images/pattern-more-python.svg	(from https://learncodethehardway.org/more-python-book/)
11:16:28	6238/6238	---M--	200	added ('OK')	image/svg+xml	etag:%22595ef4e4-185e%22	https://learncodethehardway.org/images/logo-more-python.svg	./more_python/learncodethehardway.org/images/logo-more-python.svg	(from https://learncodethehardway.org/more-python-book/)
11:16:30	23801/23801	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/part0.html	./more_python/learncodethehardway.org/more-python-book/part0.html	(from https://learncodethehardway.org/more-python-book/)
11:16:31	25118/25118	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex0.html	./more_python/learncodethehardway.org/more-python-book/ex0.html	(from https://learncodethehardway.org/more-python-book/)
11:16:32	25916/25916	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:51%20GMT	https://learncodethehardway.org/more-python-book/ex1.html	./more_python/learncodethehardway.org/more-python-book/ex1.html	(from https://learncodethehardway.org/more-python-book/)
11:16:33	22887/22887	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex2.html	./more_python/learncodethehardway.org/more-python-book/ex2.html	(from https://learncodethehardway.org/more-python-book/)
11:16:34	24332/24332	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex3.html	./more_python/learncodethehardway.org/more-python-book/ex3.html	(from https://learncodethehardway.org/more-python-book/)
11:16:35	27222/27222	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:51%20GMT	https://learncodethehardway.org/more-python-book/part1.html	./more_python/learncodethehardway.org/more-python-book/part1.html	(from https://learncodethehardway.org/more-python-book/)
11:16:36	23166/23166	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:51%20GMT	https://learncodethehardway.org/more-python-book/ex4.html	./more_python/learncodethehardway.org/more-python-book/ex4.html	(from https://learncodethehardway.org/more-python-book/)
11:16:37	23460/23460	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:51%20GMT	https://learncodethehardway.org/more-python-book/ex5.html	./more_python/learncodethehardway.org/more-python-book/ex5.html	(from https://learncodethehardway.org/more-python-book/)
11:16:38	24946/24946	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex6.html	./more_python/learncodethehardway.org/more-python-book/ex6.html	(from https://learncodethehardway.org/more-python-book/)
11:16:39	22668/22668	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:51%20GMT	https://learncodethehardway.org/more-python-book/ex7.html	./more_python/learncodethehardway.org/more-python-book/ex7.html	(from https://learncodethehardway.org/more-python-book/)
11:16:40	22958/22958	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex8.html	./more_python/learncodethehardway.org/more-python-book/ex8.html	(from https://learncodethehardway.org/more-python-book/)
11:16:41	22455/22455	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex9.html	./more_python/learncodethehardway.org/more-python-book/ex9.html	(from https://learncodethehardway.org/more-python-book/)
11:16:42	21671/21671	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex10.html	./more_python/learncodethehardway.org/more-python-book/ex10.html	(from https://learncodethehardway.org/more-python-book/)
11:16:43	21351/21351	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:51%20GMT	https://learncodethehardway.org/more-python-book/ex11.html	./more_python/learncodethehardway.org/more-python-book/ex11.html	(from https://learncodethehardway.org/more-python-book/)
11:16:44	22531/22531	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex12.html	./more_python/learncodethehardway.org/more-python-book/ex12.html	(from https://learncodethehardway.org/more-python-book/)
11:16:45	28150/28150	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/part2.html	./more_python/learncodethehardway.org/more-python-book/part2.html	(from https://learncodethehardway.org/more-python-book/)
11:16:46	57619/57619	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex13.html	./more_python/learncodethehardway.org/more-python-book/ex13.html	(from https://learncodethehardway.org/more-python-book/)
11:16:47	33736/33736	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex14.html	./more_python/learncodethehardway.org/more-python-book/ex14.html	(from https://learncodethehardway.org/more-python-book/)
11:16:48	30139/30139	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex15.html	./more_python/learncodethehardway.org/more-python-book/ex15.html	(from https://learncodethehardway.org/more-python-book/)
11:16:49	47749/47749	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex16.html	./more_python/learncodethehardway.org/more-python-book/ex16.html	(from https://learncodethehardway.org/more-python-book/)
11:16:50	58425/58425	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:52%20GMT	https://learncodethehardway.org/more-python-book/ex17.html	./more_python/learncodethehardway.org/more-python-book/ex17.html	(from https://learncodethehardway.org/more-python-book/)
11:16:51	33984/33984	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202017%2020:38:51%20GMT	https://learncodethehardway.org/more-python-book/ex18.html	./more_python/learncodethehardway.org/more-python-book/ex18.html	(from https://learncodethehardway.org/more-python-book/)
